,Interactor_A_ID,Interactor_B_ID
679,STM0699,STM3773
680,STM3063,STM3483
681,STM0711,STM0729
682,STM2870,STM4260
683,STM0340,STM3640
684,STM3853,STM3855
685,STM1184,STM2371
686,STM4490,STM4492
687,STM3014,STM4425
688,STM1400,STM2898
689,STM0231,STM2272
690,STM0864,STM3093
691,STM4203,STM4444
692,STM0996,STM3377
693,STM0670,STM2368
694,STM0857,STM3120
695,STM1364,STM2564
696,STM1091,STM2899
697,STM2126,STM3140
698,STM2865,STM2884
699,STM3053,STM3054
700,STM0012,STM0608
701,STM2317,STM3463
702,STM2013,STM4485
703,STM1962,STM1981
704,STM0940,STM0947
705,STM0291,STM0306
706,STM1053,STM2694
707,STM2336,STM3408
708,STM1371,STM2539
709,STM4521,STM4532
710,STM2673,STM3437
711,STM0863,STM2168
712,STM1056,STM2621
713,STM0935,STM4425
714,STM0046,STM1333
715,STM2107,STM4224
716,STM2926,STM2927
717,STM0109,STM4361
718,STM0819,STM2223
719,STM1171,STM1182
720,STM1995,STM2663
721,STM3782,STM4525
722,STM1189,STM1364
723,STM1751,STM3649
724,STM2994,STM4246
725,STM1724,STM1726
726,STM1707,STM4460
727,STM3471,STM4240
728,STM3098,STM4214
729,STM0800,STM1393
730,STM1652,STM2090
731,STM2992,STM4123
732,STM1291,STM4263
733,STM1098,STM3372
734,STM1698,STM2780
735,STM1525,STM1526
736,STM1743,STM1746.S
737,STM0523,STM1471
738,STM0274,STM0288
739,STM4486,STM4495
740,STM2870,STM2879
741,STM0444,STM1209
742,STM1761,STM1764
743,STM2060,STM2065
744,STM0208,STM4112
745,STM2272,STM4100
746,STM2869,STM2875
747,STM3414,STM3416
748,STM1798,STM3611
749,STM3432,STM3446
750,STM2547,STM4328
751,STM2081,STM4185
752,STM3061,STM3741
753,STM0982,STM1033
754,STM0292,STM0571
755,STM1430,STM2982
756,STM3719,STM3793
757,STM2698,STM4497
758,STM2916,STM4226
759,STM0215,STM2086
760,STM4072,STM4073
761,STM4312,STM4317
762,STM2672,STM3619
763,STM3568,STM4237
764,STM3867,STM3871
765,STM2630,STM2718
766,STM2304,STM4291
767,STM2267,STM4203
768,STM0999,STM3159
769,STM1256,STM1259
770,STM1698,STM2945
771,STM0217,STM1290
772,STM2073,STM4425
773,STM0835,STM4125
774,STM3836,STM4543
775,STM2927,STM4370
776,STM0080,STM0082
777,STM0583,STM4356
778,STM2298,STM2781
779,STM1894,STM2067
780,STM0104,STM3502
781,STM1412,STM1631
782,STM3361,STM4389
783,STM0309,STM2388
784,STM2103,STM2407
785,STM3146,STM3147
786,STM2768,STM4523
787,STM1525,STM4492
788,STM3311,STM3312
789,STM1445,STM4107
790,STM0557,STM0893
791,STM0082,STM1296
792,STM0716,STM1545
793,STM1256,STM2258
794,STM1111,STM1433
795,STM0723,STM1635
796,STM0509,STM4464
797,STM1707,STM3448
798,STM0670,STM4360
799,STM2877,STM2899
800,STM1190,STM3199
801,STM1409,STM1412
802,STM2969,STM4439
803,STM1769,STM4262
804,STM2820,STM3962
805,STM3434,STM3440
806,STM2126,STM3390
807,STM0819,STM3798
808,STM1946,STM2994
809,STM2227,STM2702
810,STM1692,STM1694
811,STM0126,STM4131
812,STM3062,STM3502
813,STM0684,STM3335
814,STM0931,STM2339
815,STM1533,STM4195
816,STM0636,STM1084
817,STM1896,STM2544
818,STM0023,STM2599
819,STM0366,STM1481
820,STM2398,STM3789
821,STM1997,STM4254
822,STM3123,STM4116
823,STM2071,STM2074
824,STM1098,STM2755
825,STM1142,STM4060
826,STM1311,STM1563
827,STM1958,STM2770
828,STM1560,STM4593
829,STM1973,STM1978
830,STM2045,STM2055
831,STM2883,STM2900
832,STM1520,STM4055
833,STM2234,STM4417
834,STM1399,STM1415
835,STM2085,STM2086
836,STM3588,STM3589
837,STM1094,STM2903
838,STM2039,STM2044
839,STM3733,STM3905
840,STM0565,STM3362
841,STM3641,STM4486
842,STM3977,STM4261
843,STM3744,STM4544
844,STM3711,STM3721
845,STM1328,STM1376
846,STM0377,STM2438
847,STM0541,STM2279
848,STM1051,STM2882
849,STM3034,STM4417
850,STM4290,STM4425
851,STM2871,STM2888
852,STM0291,STM1559
853,STM3042,STM3744
854,STM1400,STM2884
855,STM2829,STM4106
856,STM0364,STM2333
857,STM1400,STM1418
858,STM1241,STM3755
859,STM0004,STM0113
860,STM1094,STM3761
861,STM2983,STM3930
862,STM2718,STM3736
863,STM0630,STM2861
864,STM0619,STM1103
865,STM0943,STM1243
866,STM2241,STM2885
867,STM2716,STM2721
868,STM4246,STM4544
869,STM2624,STM4057
870,STM2141,STM2473
871,STM2421,STM4568
872,STM1491,STM3645
873,STM3229,STM3231
874,STM0037,STM1540
875,STM1596,STM2893
876,STM1928,STM4290
877,STM2488,STM3453
878,STM0550,STM1345
879,STM0150,STM4248
880,STM1918,STM1921
881,STM0597,STM0598
882,STM0268,STM0840
883,STM2044,STM2050
884,STM3881,STM3882
