,Interactor_A_ID,Interactor_B_ID,weight
882,STM0013,STM1228,173
883,STM1228,STM0013,173
884,STM0013,STM1314,172
885,STM1314,STM0013,172
886,STM0013,STM1318,304
887,STM1318,STM0013,304
888,STM0013,STM1358,166
889,STM1358,STM0013,166
890,STM0013,STM1463,201
891,STM1463,STM0013,201
892,STM0013,STM1577,171
893,STM1577,STM0013,171
894,STM0013,STM1647,225
895,STM1647,STM0013,225
896,STM0013,STM1764,171
897,STM1764,STM0013,171
898,STM0013,STM1780,248
899,STM1780,STM0013,248
900,STM0013,STM1894,234
901,STM1894,STM0013,234
902,STM0013,STM2093,214
903,STM2093,STM0013,214
904,STM0013,STM2125,793
905,STM2125,STM0013,793
906,STM0013,STM2248,183
907,STM2248,STM0013,183
908,STM0013,STM2264,222
909,STM2264,STM0013,222
910,STM0013,STM2272,210
911,STM2272,STM0013,210
912,STM0013,STM2338,170
913,STM2338,STM0013,170
914,STM0013,STM2428,212
915,STM2428,STM0013,212
916,STM0013,STM2466,170
917,STM2466,STM0013,170
918,STM0013,STM2511,243
919,STM2511,STM0013,243
920,STM0013,STM2538,214
921,STM2538,STM0013,214
922,STM0013,STM2539,711
923,STM2539,STM0013,711
924,STM0013,STM2540,753
925,STM2540,STM0013,753
926,STM0013,STM2542,627
927,STM2542,STM0013,627
928,STM0013,STM2577,166
929,STM2577,STM0013,166
930,STM0013,STM2651,212
931,STM2651,STM0013,212
932,STM0013,STM2660,560
933,STM2660,STM0013,560
934,STM0013,STM2681,999
935,STM2681,STM0013,999
936,STM0013,STM2682,481
937,STM2682,STM0013,481
938,STM0013,STM2688,193
939,STM2688,STM0013,193
940,STM0013,STM2781,170
941,STM2781,STM0013,170
942,STM0013,STM2792,296
943,STM2792,STM0013,296
944,STM0013,STM2829,597
945,STM2829,STM0013,597
946,STM0013,STM2876,173
947,STM2876,STM0013,173
948,STM0013,STM2886,173
949,STM2886,STM0013,173
950,STM0013,STM2928,157
951,STM2928,STM0013,157
952,STM0013,STM2952,166
953,STM2952,STM0013,166
954,STM0013,STM2954,306
955,STM2954,STM0013,306
956,STM0013,STM2995,234
957,STM2995,STM0013,234
958,STM0013,STM3068,174
959,STM3068,STM0013,174
960,STM0013,STM3090,248
961,STM3090,STM0013,248
962,STM0013,STM3203,199
963,STM3203,STM0013,199
964,STM0013,STM3253,174
965,STM3253,STM0013,174
966,STM0013,STM3283,372
